Main Category,Capric acid,Lauric acid,Myristic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic Acid,Linolenic Acid,Stearidonic acid,Eicosenoic acid,Arachidonic acid,Eicosapentaenoic acid,Erucic acid,Docosapentaenoic acid,Docosahexaenoic acid,Butyric acid,Caproic acid,Caprylic acid,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Dietary Fiber,"Folate, DFE","Folate, food",Folate,Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,Vitamin A,Vitamin B12,"Vitamin B-12, added",Vitamin B6,Vitamin C,Vitamin D,Vitamin E,"Vitamin E, added",Vitamin K,Water,Zinc,Creatine
Artichokes,0.0,0.005,0.005,0.082,0.0,0.008,0.013,0.131,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.565,0.0,7.5,0.0,31.8,0.094,0.0,49.0,0.013,0.18,0.099,5.15,104.0,104.0,104.0,0.0,0.585,429.0,0.0,36.5,1.013,67.0,275.0,3.0,0.0,0.124,0.2,56.5,0.915,0.0,0.056,0.42,1.0,0.0,0.0,0.084,6.2,0.0,0.175,0.0,13.7,85.29,0.38,0.0
Arugula,0.0,0.003,0.0,0.072,0.001,0.004,0.046,0.13,0.17,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,3.65,0.0,1424.0,0.0,15.3,0.076,0.0,25.0,0.049,0.319,0.086,1.6,97.0,97.0,97.0,0.0,1.46,3555.0,0.0,47.0,0.305,52.0,369.0,2.58,0.0,0.086,0.3,27.0,2.05,0.0,0.044,0.66,119.0,0.0,0.0,0.073,15.0,0.0,0.43,0.0,108.6,91.71,0.47,0.0
Asparagus,0.0,0.001,0.002,0.076,0.002,0.004,0.007,0.14,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25,3.093,2.25,507.25,0.0,21.1,0.139,0.0,19.75,0.008,0.156,0.083,1.825,108.0,108.0,108.0,0.0,1.36,682.25,19.5,12.0,1.014,49.5,192.5,2.423,0.0,0.121,3.5,76.5,1.14,0.0,0.108,0.352,42.25,0.0,0.0,0.075,14.025,0.0,1.262,0.0,53.375,93.482,0.488,0.0
Avocados,0.0,0.0,0.0,2.075,0.698,0.049,9.066,1.674,0.125,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,12.0,8.53,24.0,62.0,0.0,14.2,0.19,28.0,160.0,9.799,1.816,2.126,6.7,81.0,81.0,81.0,0.0,0.55,271.0,0.0,29.0,1.738,52.0,485.0,2.0,0.0,0.13,0.4,7.0,0.66,0.0,0.067,14.66,7.0,0.0,0.0,0.257,10.0,0.0,2.07,0.0,21.0,73.23,0.64,0.0
Baby food,0.001,0.001,0.004,0.288,0.012,0.11,3.032,1.083,0.458,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1053.0,68.63,0.0,166.0,1.0,13.9,0.082,0.0,344.0,3.107,1.541,0.453,1.7,98.0,17.0,65.0,48.0,13.16,33.0,0.0,19.0,11.842,247.0,180.0,5.43,0.0,1.053,14.1,157.0,42.0,0.0,0.921,5.3,14.0,0.19,0.0,1.105,2.4,0.0,0.9,0.02,4.1,14.0,0.59,0.0
Babyfood,0.005,0.007,0.034,0.318,0.04,0.117,0.672,0.384,0.039,0.001,0.005,0.005,0.0,0.0,0.001,0.001,0.007,0.004,0.002,0.0,0.0,76.339,20.957,161.087,509.29,6.404,12.458,0.083,8.126,111.831,0.738,0.443,0.526,1.45,28.224,10.027,20.727,10.71,3.773,170.956,70.623,17.262,2.256,71.628,160.546,2.937,2.41,0.215,4.314,40.672,8.416,0.0,0.174,1.961,51.891,0.287,0.166,0.158,15.966,0.194,0.726,0.452,4.931,73.393,0.922,0.0
Babyfoods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0
Bacon,0.005,0.144,0.147,3.63,0.074,1.485,7.668,8.43,1.394,0.0,0.084,0.018,0.002,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,16.5,5.055,0.0,26.5,50.0,50.95,0.084,0.0,281.0,7.833,9.858,5.644,1.3,24.0,24.0,24.0,0.0,1.565,0.0,0.0,19.0,6.891,107.5,163.0,12.51,4.0,0.332,13.4,1182.5,0.0,0.0,2.214,24.76,6.0,0.33,0.0,0.44,12.0,0.1,4.8,0.0,5.4,53.955,1.015,0.0
Bacon bits,0.0,0.215,0.143,2.672,0.0,1.026,6.225,12.07,1.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,28.6,0.0,0.0,0.0,134.8,0.539,0.0,476.0,6.225,13.548,4.055,10.2,127.0,127.0,127.0,0.0,0.72,0.0,0.0,95.0,1.6,217.0,145.0,32.0,0.0,0.07,7.4,1770.0,0.0,0.0,0.6,25.9,0.0,1.2,1.2,0.08,1.9,0.0,6.9,0.0,0.0,8.0,1.87,0.0
Bagels,0.0,0.0,0.002,0.114,0.008,0.058,0.232,0.681,0.05,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,50.635,0.0,1.0,0.0,12.2,0.152,0.0,257.0,0.34,0.731,0.18,2.85,135.5,27.5,91.0,64.0,3.165,44.0,0.0,40.0,3.942,120.5,136.0,10.38,0.0,0.276,25.1,430.5,7.275,0.0,0.486,1.425,0.0,0.0,0.0,0.108,0.0,0.0,0.21,0.0,0.85,35.68,0.965,0.0
Baking chocolate,0.0,0.0,0.022,8.468,0.068,11.468,10.488,1.188,0.094,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,67.5,52.915,0.0,0.0,1.0,45.65,1.952,0.0,534.0,10.556,1.356,20.442,10.3,16.5,16.5,16.5,0.0,9.79,22.5,0.0,211.0,1.592,271.0,613.5,8.98,0.0,0.103,4.95,13.5,35.155,764.0,0.102,33.95,0.0,0.0,0.0,0.03,0.05,0.0,0.38,0.0,5.95,1.465,5.445,0.0
Balsam-pear (bitter gourd),0.0,0.0,0.002,0.017,0.001,0.003,0.018,0.045,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,5.5,0.0,759.0,0.0,15.9,0.117,0.0,26.5,0.019,0.08,0.023,1.95,69.5,69.5,69.5,0.0,0.7,1980.5,0.0,55.0,0.638,56.5,460.5,2.22,0.0,0.167,0.55,9.5,1.495,0.0,0.099,0.19,63.5,0.0,0.0,0.4,44.3,0.0,0.795,0.0,83.95,91.32,0.535,0.0
Bamboo shoots,0.0,0.002,0.002,0.06,0.0,0.007,0.008,0.132,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,4.21,0.0,10.0,0.0,0.0,0.152,0.0,23.0,0.008,0.156,0.08,1.8,5.0,5.0,5.0,0.0,0.41,0.0,0.0,3.5,0.37,42.0,306.5,2.16,0.0,0.048,0.65,5.5,2.445,0.0,0.088,0.35,1.0,0.0,0.0,0.188,2.55,0.0,0.815,0.0,0.0,92.66,0.875,0.0
Bananas,0.003,0.004,0.008,0.288,0.028,0.014,0.062,0.128,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,55.56,60.5,63.5,0.0,14.7,0.234,0.0,217.5,0.092,0.205,0.405,6.25,17.0,17.0,17.0,0.0,0.705,53.0,0.0,67.5,1.732,48.0,924.5,2.49,0.0,0.156,2.45,2.0,29.765,0.0,0.106,1.07,7.5,0.0,0.0,0.403,7.85,0.0,0.245,0.0,1.25,38.955,0.38,0.0
Barley,0.0,0.002,0.004,0.144,0.002,0.006,0.084,0.349,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,52.97,0.0,9.0,0.0,25.6,0.262,0.0,237.5,0.103,0.387,0.168,9.7,19.5,19.5,19.5,0.0,1.915,108.0,0.0,50.5,3.334,137.5,186.5,6.085,0.0,0.088,23.15,6.0,0.54,0.0,0.137,0.8,0.5,0.0,0.0,0.188,0.0,0.0,0.015,0.0,1.5,39.445,1.475,0.0
Basil,0.0,0.0,0.0,0.036,0.0,0.005,0.088,0.073,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,2.65,0.0,3142.0,0.0,11.4,0.385,46.0,23.0,0.088,0.389,0.041,1.6,68.0,68.0,68.0,0.0,3.17,5650.0,0.0,64.0,0.902,56.0,295.0,3.15,0.0,0.076,0.3,4.0,0.3,0.0,0.034,0.64,264.0,0.0,0.0,0.155,18.0,0.0,0.8,0.0,414.8,92.06,0.81,0.0
Beans,0.0,0.0,0.002,0.129,0.004,0.024,0.096,0.117,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.968,22.038,14.548,49.581,0.355,30.184,0.238,1.613,118.839,0.112,0.236,0.157,6.223,112.452,112.452,112.452,0.0,2.172,141.935,35.29,53.742,0.625,133.452,440.0,7.338,0.0,0.086,3.126,94.323,1.948,0.0,0.197,0.609,4.839,0.001,0.0,0.132,2.561,0.0,0.385,0.0,13.39,68.525,0.991,0.0
Beef,0.02,0.02,0.376,2.923,0.506,1.619,4.918,0.373,0.085,0.0,0.025,0.053,0.002,0.0,0.014,0.011,0.0,0.0,0.0,0.0,0.0,14.827,0.323,0.272,5.383,138.074,111.441,0.455,0.469,226.074,5.567,0.558,5.079,0.014,15.099,15.099,15.099,0.0,2.58,0.198,0.284,19.938,5.462,212.099,300.901,25.614,212.889,0.32,27.798,162.543,0.039,0.0,0.07,12.924,213.358,4.523,0.0,0.437,0.193,0.18,0.271,0.0,1.585,60.125,5.236,0.0
Beef sausage,0.0,0.0,0.611,7.445,0.636,3.946,12.936,0.67,0.033,0.0,0.116,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.19,11.0,13.0,82.5,47.1,0.068,11.0,368.5,14.513,0.844,13.002,0.0,4.0,4.0,4.0,0.0,1.55,0.0,13.0,13.5,3.405,163.0,246.0,16.855,17.0,0.134,0.0,817.5,0.0,0.0,0.038,32.775,19.0,2.02,0.0,0.252,0.35,0.55,0.365,0.0,1.6,47.435,3.65,0.0
Beef stew,0.0,0.01,0.169,1.232,0.227,0.673,2.15,0.2,0.034,0.017,0.036,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.85,53.0,106.0,13.0,15.6,0.141,3.0,99.0,2.543,0.251,2.185,0.9,14.0,14.0,14.0,0.0,2.48,4.0,28.0,8.0,1.096,42.0,163.0,4.41,0.0,0.053,4.7,388.0,1.76,0.0,0.073,5.53,11.0,0.5,0.0,0.087,0.7,0.0,0.27,0.0,6.2,80.78,1.0,0.0
Beet greens,0.0,0.0,0.0,0.025,0.0,0.0,0.032,0.053,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.5,4.895,3.5,4192.0,0.0,0.45,0.221,0.0,24.5,0.032,0.058,0.026,3.3,14.5,14.5,14.5,0.0,2.235,1661.0,0.0,69.0,0.45,41.0,835.5,2.385,0.0,0.254,0.9,233.5,0.55,0.0,0.109,0.165,349.5,0.0,0.0,0.119,27.45,0.0,1.655,0.0,442.0,90.075,0.44,0.0
Beets,0.0,0.0,0.0,0.02,0.0,0.001,0.025,0.042,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,9.916,0.0,19.6,0.0,8.34,0.084,0.0,42.2,0.025,0.045,0.02,1.72,55.0,55.0,55.0,0.0,0.89,0.0,0.0,18.8,0.245,25.6,207.0,1.16,0.0,0.041,0.68,103.8,7.332,0.0,0.018,0.128,1.6,0.0,0.0,0.059,3.54,0.0,0.04,0.0,0.2,87.82,0.28,0.0
Beverage,0.012,0.007,0.054,0.693,0.02,0.528,0.724,0.579,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.006,0.006,0.0,38.5,392.5,53.6,0.0,2.5,28.0,207.65,2.013,0.0,355.5,0.752,0.652,1.361,1.2,667.5,0.0,392.5,392.5,7.56,0.0,0.0,319.0,19.92,463.5,1326.0,27.85,1655.5,0.275,16.95,551.0,52.4,449.0,1.175,3.25,1655.5,2.405,1.5,1.57,107.45,0.0,13.125,13.125,105.0,7.4,11.975,0.0
Beverages,0.011,0.069,0.039,0.2,0.006,0.231,0.444,0.229,0.026,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.012,0.094,111.872,86.808,19.229,1.544,61.56,2.48,20.645,0.165,0.808,111.4,0.465,0.243,0.692,1.374,40.528,7.544,26.952,19.424,1.198,8.936,8.352,48.296,3.706,107.528,411.624,5.168,61.352,0.197,4.6,98.872,10.319,16.256,0.112,1.556,66.6,0.689,0.561,0.299,7.823,0.47,1.645,1.541,3.024,72.342,1.181,0.0
Biscuits,0.002,0.003,0.041,1.407,0.012,1.233,4.13,1.915,0.147,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.002,0.001,0.001,0.0,0.0,60.0,52.324,0.0,0.0,0.6,11.68,0.099,0.0,335.8,4.148,2.066,3.589,2.1,135.6,13.4,85.2,71.8,2.772,8.0,0.0,18.4,3.664,465.2,176.6,7.098,0.4,0.296,15.32,1002.0,7.728,0.0,0.463,10.916,0.4,0.106,0.0,0.044,0.08,0.0,0.45,0.0,4.84,26.21,0.468,0.0
Blackberries,0.0,0.0,0.0,0.008,0.0,0.002,0.032,0.134,0.068,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.333,16.127,0.0,109.0,0.0,7.567,0.139,0.0,66.333,0.034,0.202,0.011,4.567,28.667,28.667,28.667,0.0,0.69,105.0,0.0,19.667,0.713,22.0,133.667,1.293,0.0,0.037,0.367,1.667,11.75,0.0,0.025,0.353,9.333,0.0,0.0,0.042,8.967,0.0,1.04,0.0,17.633,81.807,0.32,0.0
Blackberry juice,0.0,0.0,0.0,0.014,0.0,0.003,0.054,0.229,0.115,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.8,0.0,74.0,0.0,6.6,0.114,0.0,38.0,0.058,0.344,0.018,0.1,10.0,10.0,10.0,0.0,0.48,68.0,0.0,21.0,0.446,12.0,135.0,0.3,0.0,0.018,0.3,1.0,7.7,0.0,0.012,0.6,6.0,0.0,0.0,0.021,11.3,0.0,0.9,0.0,15.2,90.9,0.41,0.0
Blood sausage,0.0,0.03,0.62,8.3,0.88,4.41,15.0,3.2,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.29,0.0,0.0,120.0,72.8,0.04,0.0,379.0,15.9,3.46,13.4,0.0,5.0,5.0,5.0,0.0,6.4,0.0,0.0,8.0,1.2,22.0,38.0,14.6,0.0,0.13,15.5,680.0,1.29,0.0,0.07,34.5,0.0,1.0,0.0,0.04,0.0,1.3,0.13,0.0,0.0,47.3,1.3,0.0
Blueberries,0.0,0.0,0.0,0.035,0.002,0.016,0.11,0.271,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333,28.888,0.0,36.333,0.0,7.183,0.066,0.0,114.333,0.112,0.353,0.058,3.167,6.0,6.0,6.0,0.0,0.418,89.167,0.0,6.5,0.47,14.667,83.167,0.958,0.0,0.074,0.2,2.0,23.923,0.0,0.044,0.722,3.0,0.0,0.0,0.068,6.433,0.0,0.947,0.0,23.183,69.25,0.157,0.0
Bologna,0.025,0.017,0.387,5.058,0.85,2.53,8.702,1.62,0.119,0.002,0.121,0.046,0.002,0.052,0.007,0.002,0.0,0.0,0.0,0.0,0.0,60.0,5.322,1.5,2.75,63.25,51.975,0.042,2.75,273.0,9.862,1.85,8.16,0.0,5.25,5.25,5.25,0.0,1.185,0.0,2.75,14.25,2.632,176.75,283.25,12.062,10.5,0.127,15.75,1043.25,2.11,0.0,0.086,22.322,11.0,1.22,0.0,0.199,4.25,0.675,0.335,0.0,1.175,57.028,1.78,0.0
Boysenberries,0.0,0.0,0.0,0.006,0.0,0.001,0.023,0.098,0.05,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.19,0.0,40.0,0.0,10.2,0.08,0.0,50.0,0.025,0.148,0.009,5.3,63.0,63.0,63.0,0.0,0.85,118.0,0.0,16.0,0.767,27.0,139.0,1.1,0.0,0.037,0.2,1.0,6.89,0.0,0.053,0.26,3.0,0.0,0.0,0.056,3.1,0.0,0.87,0.0,7.8,85.9,0.22,0.0
Bratwurst,0.013,0.013,0.335,6.207,0.866,3.429,13.561,2.419,0.099,0.0,0.265,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.85,0.0,0.0,74.0,94.0,0.104,0.0,333.0,14.692,2.632,9.998,0.0,3.0,3.0,3.0,0.0,0.53,0.0,0.0,21.0,4.795,208.0,348.0,13.72,2.0,0.307,39.7,846.0,0.0,0.0,0.459,29.18,2.0,0.73,0.0,0.327,0.0,1.1,0.26,0.0,3.4,51.45,3.25,0.0
Braunschweiger (a liver sausage),0.051,0.111,0.333,5.763,1.025,3.048,11.706,2.852,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.1,0.0,0.0,180.0,255.9,0.24,0.0,327.0,12.731,3.193,9.307,0.0,44.0,44.0,44.0,0.0,11.2,0.0,0.0,11.0,8.368,168.0,199.0,14.5,4220.0,1.525,58.0,977.0,0.0,0.0,0.249,28.5,4220.0,20.09,0.0,0.33,0.0,1.2,0.35,0.0,1.6,50.6,2.81,0.0
Bread,0.007,0.01,0.032,0.858,0.024,0.338,1.377,1.343,0.116,0.0,0.01,0.004,0.0,0.0,0.0,0.001,0.006,0.003,0.003,0.0,0.0,105.344,49.001,0.719,3.062,4.844,18.359,0.173,0.781,279.094,1.437,1.468,1.29,4.9,118.406,36.719,84.812,48.062,2.835,71.156,0.0,37.531,3.769,157.844,164.875,9.616,5.375,0.258,23.706,481.25,5.377,0.0,0.399,5.141,5.625,0.046,0.0,0.11,0.097,0.019,0.435,0.0,3.781,34.127,1.065,0.0
Bread crumbs,0.0,0.0,0.0,0.728,0.0,0.569,1.096,1.979,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.5,70.235,0.0,58.0,0.5,14.6,0.25,0.0,389.0,1.096,2.18,1.297,4.7,173.5,26.5,113.0,86.5,4.875,0.0,0.0,44.5,6.398,171.0,213.5,13.74,0.0,0.409,24.95,1034.0,5.97,0.0,0.964,5.39,5.0,0.35,0.0,0.146,1.35,0.0,0.17,0.0,26.3,6.43,1.44,0.0
Bread sticks,0.0,0.001,0.009,0.981,0.066,0.406,3.494,3.377,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,68.4,0.0,1.0,0.0,14.6,0.188,0.0,412.0,3.568,3.628,1.41,3.0,255.0,30.0,162.0,132.0,4.28,65.0,0.0,32.0,5.281,121.0,124.0,12.0,0.0,0.553,37.5,713.0,1.26,0.0,0.589,9.5,0.0,0.0,0.0,0.073,0.0,0.0,1.01,0.0,2.2,6.1,0.88,0.0
Bread stuffing,0.0,0.001,0.018,0.988,0.039,0.608,3.654,2.174,0.149,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,38.98,0.0,48.0,0.333,14.767,0.124,0.0,253.333,3.707,2.324,1.64,2.3,144.667,37.667,100.667,63.0,1.9,30.0,0.0,21.333,2.812,71.0,125.0,5.543,60.0,0.2,30.167,803.333,3.437,0.0,0.285,8.083,64.0,0.017,0.0,0.076,0.267,0.0,0.857,0.0,7.7,44.623,0.463,0.0
